id;logradouro;numero;complemento;bairro;c_ep
1;customized Filmes Strategist;61489;online Applications Peixe;Acre back-end;back-end Eletrônicos withdrawal
2;Integration Avenida SQL;37167;Buckinghamshire Ceará;Rústico quantifying;motivating Benin cross-platform
3;repurpose circuit;91433;copying;deposit Refinado Inteligente;laranja
4;bypass;75272;Namibia Bacon Quetzal;Crianças;withdrawal
5;Queijo product reinvent;3861;Pequeno;interactive Rodovia Centralized;Facilitator
6;Account;79434;Principal Rodovia digital;Technician logistical Impressionante;back Alameda
7;Front-line embrace;47241;Director Salada;connecting Architect synthesize;Crianças
8;Malásia;17776;açafrão;AGP Prático;Bahia
9;deposit deposit program;47563;Inteligente;lima Kwacha navigate;COM
10;IB turn-key;83888;Account Fresco Central;Account Buckinghamshire Technician;transmitting expedite
