id;nome_livro;editora;autor;ano_de_publicacao;tags
1;JSON Sapatos Marginal;approach;Algodão;80808;../fake-data/blob/hipster.txt
2;madeira Gostoso;Networked invoice monitoring;Rodovia;49581;../fake-data/blob/hipster.txt
3;Computadores;Lead Agent Roupas;Alameda;51197;../fake-data/blob/hipster.txt
4;Bedfordshire synthesize Sapatos;Avon Holandesas;programming;96999;../fake-data/blob/hipster.txt
5;connecting;benchmark SSL invoice;Account;45524;../fake-data/blob/hipster.txt
6;payment;quantify copying;quantify Ilhas schemas;18603;../fake-data/blob/hipster.txt
7;multi-byte parse administration;quantify JSON AI;Unit;83356;../fake-data/blob/hipster.txt
8;withdrawal Buckinghamshire paradigm;Amapá Tactics Impressionante;hacking New ROI;56500;../fake-data/blob/hipster.txt
9;Configuration;Fresco iterate;Account Sérvia 24/7;88208;../fake-data/blob/hipster.txt
10;relationships Avenida Queijo;Central Coordinator Goiás;empower bus;16287;../fake-data/blob/hipster.txt
