id;nome;descricao;imagem;imagem_content_type;tags
1;Grass-roots;1080p Assimilated Avon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;Mouse Maranhão card;à;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;Cadeira;overriding;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;Regional back-end Sem;front-end Fantástico;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;Venezuela User-friendly Creative;deliver Saúde Market;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;Coordinator Bola;foreground optimize Plástico;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;Rústico;Avon Atum methodologies;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;unleash Investor Filipinas;Turismo Central;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;Lustroso Plástico;channels Borracha;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;Plástico;SMS Customer Rua;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
